boxes_box1_gps,boxes_crop,boxes_planting_date,boxes_expected_harvest_date,country,boxes_farmer_district,wet_completed_time,wet_kgs_crop_box1,wet_kgs_crop_box2,dry_box1_dry_weight,dry_box2_dry_weight,Latitude,Longitude,Altitude,Accuracy
-0.518685 37.5231383 1400.2 3.9,maize,2021-10-20,2022-03-13,Kenya,Embu,2022-03-11,4.135,3.225,2.065,1.555,-0.518685,37.5231383,1400.2,3.9
-0.5665817 37.5290533 1217.0 3.9,maize,2021-10-15,2022-02-26,Kenya,Embu,2022-02-24,5.235,3.095,4.24,2.96,-0.5665817,37.5290533,1217.0,3.9
-0.5469031 37.5377373 1300.5 4.45,maize,2021-10-18,2022-03-16,Kenya,Embu,2022-03-09,0.825,5.265,0.635,3.995,-0.5469031,37.5377373,1300.5,4.45
-0.5383533 37.5276633 1282.2 3.9,maize,2021-10-20,2022-03-20,Kenya,Embu,2022-03-09,5.955,4.455,3.305,2.725,-0.5383533,37.5276633,1282.2,3.9
-0.5408191 37.518547 1270.5 4.08,maize,2021-10-22,2022-03-20,Kenya,Embu,2022-03-14,3.025,4.205,1.255,2.355,-0.5408191,37.518547,1270.5,4.08
-0.5057719 37.5064528 1482.8 3.46,maize,2021-10-22,2022-03-17,Kenya,Embu,2022-03-08,15.61,16.96,8.565,9.605,-0.5057719,37.5064528,1482.8,3.46
-0.5470645 37.541256 1307.3 4.51,maize,2021-10-26,2022-03-17,Kenya,Embu,2022-03-09,8.505,2.525,5.045,1.655,-0.5470645,37.541256,1307.3,4.51
-0.5297267 37.5186867 1344.8 3.9,maize,2021-10-21,2022-03-21,Kenya,Embu,2022-03-09,2.605,0.535,0.695,0.405,-0.5297267,37.5186867,1344.8,3.9
-0.4612064 37.7350985 1099.69 6.0,maize,2021-11-16,2022-02-18,Kenya,Embu,2022-03-03,11.91,12.26,4.025,4.085,-0.4612064,37.7350985,1099.69,6.0
-0.5095167 37.5101333 1459.1 3.4,maize,2021-03-20,2022-03-14,Kenya,Embu,2022-03-08,0.065,4.115,0.055,1.815,-0.5095167,37.5101333,1459.1,3.4
-0.5153353 37.4931704 1400.8 4.81,maize,2021-10-19,2022-03-21,Kenya,Embu,2022-03-10,19.3,20.68,12.5,13.36,-0.5153353,37.4931704,1400.8,4.81
-0.4923017 37.504755 1492.6 3.7,maize,2021-10-23,2022-03-16,Kenya,Embu,2022-03-09,12.63,10.19,7.575,5.155,-0.4923017,37.504755,1492.6,3.7
-0.4892876 37.6957356 1115.77 8.92,maize,2021-10-15,2022-03-03,Kenya,Embu,2022-02-28,10.96,14.2,4.385,4.055,-0.4892876,37.6957356,1115.77,8.92
-0.528585 37.517165 1332.7 3.76,maize,2021-10-20,2022-03-06,Kenya,Embu,2022-03-09,1.975,4.665,1.095,2.775,-0.528585,37.517165,1332.7,3.76
-0.5332066 37.5088367 1282.0 3.9,maize,2021-10-21,2022-03-19,Kenya,Embu,2022-03-21,1.705,3.105,1.185,2.605,-0.5332066,37.5088367,1282.0,3.9
-0.5349835 37.509405 1292.8 2.95,maize,2021-10-19,2022-03-15,Kenya,Embu,2022-03-10,11.82,10.56,7.165,6.195,-0.5349835,37.509405,1292.8,2.95
-0.5426795 37.5179781 1246.3 3.9,maize,2021-10-25,2022-03-14,Kenya,Embu,2022-03-14,1.305,2.885,0.775,1.515,-0.5426795,37.5179781,1246.3,3.9
