plot_id,longitude,latitude,Altitude,crop_type,planting_date,season,country,county
72,37.2718985,-0.6244684,1215.9,maize,10/20/2020,Short Rains,Kenya,Kirinyaga
73,37.3773396,-0.5545766,1460.9,maize,10/7/2021,Short Rains,Kenya,Kirinyaga
74,37.3605175,-0.6078358,1226.2,maize,10/9/2021,Short Rains,Kenya,Kirinyaga
75,37.2836944,-0.6537351,1219.4,maize,10/5/2021,Short Rains,Kenya,Kirinyaga
76,37.4683104,-0.6068328,1205.69,maize,10/21/2021,Short Rains,Kenya,Kirinyaga
77,37.350439,-0.5854416,1272.5,maize,10/4/2021,Short Rains,Kenya,Kirinyaga
78,37.3178379,-0.6192777,1190,maize,10/22/2021,Short Rains,Kenya,Kirinyaga
79,37.4739926,-0.6085345,1200.59,maize,10/22/2021,Short Rains,Kenya,Kirinyaga
80,37.4680667,-0.6068317,1206.59,maize,10/21/2021,Short Rains,Kenya,Kirinyaga
81,37.4682421,-0.6067876,1198.8,maize,10/22/2021,Short Rains,Kenya,Kirinyaga
82,37.2894068,-0.64751,1224,maize,10/7/2021,Short Rains,Kenya,Kirinyaga
83,37.31577,-0.5982133,1275.7,maize,10/4/2020,Short Rains,Kenya,Kirinyaga
84,37.43704,-0.6749,1130.39,maize,10/21/2021,Short Rains,Kenya,Kirinyaga
85,37.3330751,-0.5767772,1294.3,maize,10/4/2020,Short Rains,Kenya,Kirinyaga
86,37.3404633,-0.594345,1255,maize,10/4/2020,Short Rains,Kenya,Kirinyaga
87,37.3489127,-0.5527773,1354,maize,10/4/2021,Short Rains,Kenya,Kirinyaga
88,37.3203438,-0.5916507,1268.4,maize,10/4/2021,Short Rains,Kenya,Kirinyaga
89,37.3223027,-0.7385873,1153.7,maize,10/9/2021,Short Rains,Kenya,Kirinyaga
90,37.4413233,-0.7891516,1108.89,maize,10/22/2021,Short Rains,Kenya,Kirinyaga
91,37.551706,-0.4357971,1477.7,maize,9/20/2021,Off Season,Kenya,Kirinyaga
92,37.5973158,-0.502628,1244.3,maize,10/21/2021,Short Rains,Kenya,Kirinyaga
93,37.3843967,-0.5150983,1471.3,maize,12/8/2021,Short Rains,Kenya,Kirinyaga
94,37.3944789,-0.4720488,1536.5,maize,10/7/2021,Short Rains,Kenya,Kirinyaga
